,Selection split by,
,"
              Day
            ",Site sessions
1,2025-03-03 00:00:00,73
2,2025-02-11 00:00:00,37
3,2025-03-04 00:00:00,35
4,2025-03-06 00:00:00,35
5,2025-02-20 00:00:00,34
6,2025-02-10 00:00:00,33
7,2025-02-19 00:00:00,29
8,2025-02-23 00:00:00,29
9,2025-02-25 00:00:00,29
10,2025-02-26 00:00:00,29
11,2025-02-12 00:00:00,26
12,2025-02-18 00:00:00,26
13,2025-02-09 00:00:00,25
14,2025-03-02 00:00:00,23
15,2025-03-05 00:00:00,23
16,2025-02-06 00:00:00,22
17,2025-02-22 00:00:00,22
18,2025-02-08 00:00:00,21
19,2025-02-15 00:00:00,21
20,2025-02-21 00:00:00,21
21,2025-02-27 00:00:00,21
22,2025-02-28 00:00:00,20
23,2025-02-13 00:00:00,19
24,2025-02-05 00:00:00,18
25,2025-03-01 00:00:00,18
26,2025-02-17 00:00:00,17
27,2025-02-24 00:00:00,17
28,2025-02-07 00:00:00,15
29,2025-02-14 00:00:00,15
30,2025-02-16 00:00:00,15
